column,dtype,missing_count,missing_percent,unique_values
tot_cur_bal,float64,0,0.0,45205
open_acc_6m,float64,28628,57.26,13
open_act_il,float64,28628,57.26,35
open_il_12m,float64,28628,57.26,12
open_il_24m,float64,28628,57.26,17
mths_since_rcnt_il,float64,29190,58.38,201
total_bal_il,float64,28628,57.26,17030
il_util,float64,31383,62.77,160
open_rv_12m,float64,28628,57.26,18
open_rv_24m,float64,28628,57.26,28
max_bal_bc,float64,28628,57.26,10707
all_util,float64,28628,57.26,139
total_rev_hi_lim,float64,0,0.0,3308
inq_fi,float64,28628,57.26,18
total_cu_tl,float64,28628,57.26,33
inq_last_12m,float64,28628,57.26,28
acc_open_past_24mths,float64,0,0.0,38
avg_cur_bal,float64,0,0.0,24395
bc_open_to_buy,float64,453,0.91,20859
bc_util,float64,482,0.96,1126
chargeoff_within_12_mths,float64,0,0.0,5
delinq_amnt,float64,0,0.0,179
mo_sin_old_il_acct,float64,1337,2.67,398
mo_sin_old_rev_tl_op,float64,0,0.0,625
mo_sin_rcnt_rev_tl_op,float64,0,0.0,173
mo_sin_rcnt_tl,float64,0,0.0,126
mort_acc,float64,0,0.0,23
mths_since_recent_bc,float64,436,0.87,297
mths_since_recent_bc_dlq,float64,37133,74.27,114
mths_since_recent_inq,float64,5253,10.51,25
mths_since_recent_revol_delinq,float64,31918,63.84,118
num_accts_ever_120_pd,float64,0,0.0,24
num_actv_bc_tl,float64,0,0.0,27
num_actv_rev_tl,float64,0,0.0,37
num_bc_sats,float64,0,0.0,37
num_bc_tl,float64,0,0.0,47
num_il_tl,float64,0,0.0,78
num_op_rev_tl,float64,0,0.0,52
num_rev_accts,float64,0,0.0,79
num_rev_tl_bal_gt_0,float64,0,0.0,36
num_sats,float64,0,0.0,56
num_tl_120dpd_2m,float64,2727,5.45,3
num_tl_30dpd,float64,0,0.0,3
num_tl_90g_dpd_24m,float64,0,0.0,15
num_tl_op_past_12m,float64,0,0.0,23
pct_tl_nvr_dlq,float64,0,0.0,411
percent_bc_gt_75,float64,496,0.99,123
pub_rec_bankruptcies,float64,0,0.0,8
tax_liens,float64,0,0.0,18
tot_hi_cred_lim,float64,0,0.0,42700
total_bal_ex_mort,float64,0,0.0,39844
total_bc_limit,float64,0,0.0,2102
total_il_high_credit_limit,float64,0,0.0,33592
revol_bal_joint,float64,50000,100.0,0
sec_app_fico_range_low,float64,50000,100.0,0
sec_app_fico_range_high,float64,50000,100.0,0
sec_app_earliest_cr_line,float64,50000,100.0,0
sec_app_inq_last_6mths,float64,50000,100.0,0
sec_app_mort_acc,float64,50000,100.0,0
sec_app_open_acc,float64,50000,100.0,0
sec_app_revol_util,float64,50000,100.0,0
sec_app_open_act_il,float64,50000,100.0,0
sec_app_num_rev_accts,float64,50000,100.0,0
sec_app_chargeoff_within_12_mths,float64,50000,100.0,0
sec_app_collections_12_mths_ex_med,float64,50000,100.0,0
sec_app_mths_since_last_major_derog,float64,50000,100.0,0
hardship_flag,str,0,0.0,2
hardship_type,str,49594,99.19,1
hardship_reason,str,49594,99.19,9
hardship_status,str,49594,99.19,3
deferral_term,float64,49594,99.19,1
hardship_amount,float64,49594,99.19,400
hardship_start_date,str,49594,99.19,25
hardship_end_date,str,49594,99.19,26
payment_plan_start_date,str,49594,99.19,26
hardship_length,float64,49594,99.19,1
hardship_dpd,float64,49594,99.19,30
hardship_loan_status,str,49594,99.19,4
orig_projected_additional_accrued_interest,float64,49675,99.35,321
hardship_payoff_balance_amount,float64,49594,99.19,406
hardship_last_payment_amount,float64,49594,99.19,399
disbursement_method,str,0,0.0,1
debt_settlement_flag,str,0,0.0,2
debt_settlement_flag_date,str,48463,96.93,30
settlement_status,str,48463,96.93,3
settlement_date,str,48463,96.93,35
settlement_amount,float64,48463,96.93,1477
settlement_percentage,float64,48463,96.93,171
settlement_term,float64,48463,96.93,27
